N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
162,롯데정밀화학,"71,100",200,-0.28%,"5,000","18,344","25,800",19.61,"96,912",9.35,12.65
163,한미반도체,"36,850",400,-1.07%,200,"18,226","49,460",8.46,"338,414",30.11,21.03
164,명신산업,"34,300","1,350",4.10%,500,"17,997","52,470",1.36,"1,980,851",-14.87,-67.39
165,영원무역,"39,750","1,050",-2.57%,500,"17,614","44,311",27.69,"134,227",11.4,8.03
166,한국앤컴퍼니,"18,400",50,0.27%,500,"17,468","94,935",9.58,"93,152",8.48,5.08
167,지누스,"107,000","2,000",-1.83%,500,"16,906","15,800",22.46,"34,525",35.31,11.61
168,KG동부제철,"16,600",150,-0.90%,"5,000","16,601","100,009",1.06,"131,221",18.4,7.18
169,아이에스동서,"53,100",600,-1.12%,500,"16,404","30,893",4.52,"69,325",12.83,10.92
170,대한유화,"247,500","3,500",-1.39%,"5,000","16,088","6,500",13.99,"73,800",7.05,6.93
171,두산,"97,200","1,800",1.89%,"5,000","16,061","16,524",11.68,"63,087",-11.7,-34.34
172,DL,"76,600",400,-0.52%,"5,000","16,052","20,956",15.19,"107,020",4.11,11.84
173,녹십자홀딩스,"33,300",500,1.52%,500,"15,660","47,028",4.9,"311,724",8.84,19.74
174,DGB금융지주,"9,190",110,-1.18%,"5,000","15,544","169,146",49.17,"448,394",4.23,6.93
175,종근당,"135,500","4,500",3.44%,"2,500","15,482","11,426",7.59,"60,100",17.44,17.88
176,에스엘,"31,950",450,-1.39%,500,"15,401","48,203",17.17,"87,639",13.95,4.74
177,솔루엠,"30,750",200,-0.65%,500,"15,315","49,806",8.01,"353,000",30.09,43.26
178,KODEX 레버리지,"28,570",250,-0.87%,0,"15,314","53,600",5.17,"14,119,490",N/A,N/A
179,부광약품,"21,300",100,0.47%,500,"15,136","71,063",3.52,"527,258",-160.15,-2.46
180,JB금융지주,"7,650",30,0.39%,"5,000","15,069","196,983",40.78,"366,357",3.77,10.06
181,NHN,"76,900",300,-0.39%,500,"15,046","19,565",12.95,"25,645",56.13,1.35
182,TIGER 차이나전기차SOLACTIVE,"18,110",270,1.51%,0,"14,785","81,640",0.66,"7,687,474",N/A,N/A
183,SK네트웍스,"5,950",40,-0.67%,"2,500","14,767","248,188",13.22,"631,329",14.27,1.63
184,LG생활건강우,"683,000","6,000",-0.87%,"5,000","14,341","2,100",84.85,"3,932",14.72,N/A
185,롯데리츠,"5,890",40,0.68%,500,"14,311","242,969",10.24,"290,025",34.24,1.83
186,코스맥스,"125,500","2,500",2.03%,500,"14,244","11,350",23.95,"61,810",39.48,6.23
187,KODEX 단기채권PLUS,"103,155",5,0.00%,0,"14,093","13,662",0,"1,739,585",N/A,N/A
188,KODEX 종합채권(AA-이상)액티브,"109,765",55,-0.05%,0,"13,947","12,706",0,"2,429",N/A,N/A
189,신세계인터내셔날,"193,000","1,000",-0.52%,"5,000","13,780","7,140",5.24,"11,478",19.78,8.24
190,아시아나항공,"18,500",0,0.00%,"5,000","13,766","74,412",19.83,"510,414",-20.51,-43.83
191,롯데관광개발,"19,800",250,1.28%,500,"13,717","69,276",6.28,"360,574",-11.07,-30.43
192,넥스트사이언스,"31,750","1,050",3.42%,500,"13,200","41,576",6.56,"4,187,431",-34.89,-41.41
193,롯데칠성,"142,000","2,000",-1.39%,500,"13,176","9,279",8.6,"21,763",191.37,-1
194,두산인프라코어,"16,700",100,0.60%,"5,000","13,078","78,309",10.33,"1,181,660",15.89,6.47
195,LG전자우,"75,000",800,-1.06%,"5,000","12,889","17,186",41.23,"32,936",6.99,N/A
196,TIGER TOP10,"14,970",100,-0.66%,0,"12,859","85,900",0.2,"181,407",N/A,N/A
197,KODEX 200TR,"14,220",65,-0.46%,0,"12,841","90,300",0.02,"17,033",N/A,N/A
198,코스모신소재,"42,250",450,-1.05%,"1,000","12,712","30,087",8.97,"926,946",76.26,7.16
199,한일시멘트,"183,000","8,000",4.57%,"5,000","12,675","6,926",2.43,"14,757",11.11,N/A
200,이노션,"63,000",500,0.80%,500,"12,600","20,000",29.96,"17,742",21.45,8.28
